ward_id,ward_name
WARD_01,Pulmonology Ward 1
WARD_02,Cardiology Ward 2
WARD_03,Oncology Ward 3
WARD_04,Emergency Medicine Ward 4
WARD_05,Oncology Ward 5
WARD_06,Neurology Ward 6
WARD_07,Pulmonology Ward 7
WARD_08,Endocrinology Ward 8
WARD_09,Neurology Ward 9
WARD_10,General Surgery Ward 10
WARD_11,Orthopedics Ward 11
WARD_12,Cardiology Ward 12
WARD_13,Neurology Ward 13
WARD_14,Neurology Ward 14
WARD_15,Emergency Medicine Ward 15
WARD_16,Neurology Ward 16
WARD_17,Orthopedics Ward 17
WARD_18,Orthopedics Ward 18
WARD_19,Pediatrics Ward 19
WARD_20,Oncology Ward 20
