bed_id,ward_id
BED_0017,WARD_01
BED_0019,WARD_01
BED_0053,WARD_01
BED_0059,WARD_01
BED_0090,WARD_01
BED_0091,WARD_01
BED_0114,WARD_01
BED_0143,WARD_01
BED_0145,WARD_01
BED_0175,WARD_01
BED_0211,WARD_01
BED_0224,WARD_01
BED_0251,WARD_01
BED_0264,WARD_01
BED_0269,WARD_01
BED_0274,WARD_01
BED_0297,WARD_01
BED_0307,WARD_01
BED_0310,WARD_01
BED_0322,WARD_01
BED_0340,WARD_01
BED_0344,WARD_01
BED_0345,WARD_01
BED_0372,WARD_01
BED_0376,WARD_01
BED_0391,WARD_01
BED_0411,WARD_01
BED_0436,WARD_01
BED_0491,WARD_01
BED_0026,WARD_02
BED_0040,WARD_02
BED_0041,WARD_02
BED_0061,WARD_02
BED_0229,WARD_02
BED_0302,WARD_02
BED_0304,WARD_02
BED_0316,WARD_02
BED_0333,WARD_02
BED_0365,WARD_02
BED_0370,WARD_02
BED_0375,WARD_02
BED_0384,WARD_02
BED_0399,WARD_02
BED_0410,WARD_02
BED_0425,WARD_02
BED_0470,WARD_02
BED_0471,WARD_02
BED_0476,WARD_02
BED_0003,WARD_03
BED_0013,WARD_03
BED_0023,WARD_03
BED_0039,WARD_03
BED_0107,WARD_03
BED_0117,WARD_03
BED_0132,WARD_03
BED_0152,WARD_03
BED_0160,WARD_03
BED_0196,WARD_03
BED_0216,WARD_03
BED_0223,WARD_03
BED_0331,WARD_03
BED_0343,WARD_03
BED_0404,WARD_03
BED_0455,WARD_03
BED_0465,WARD_03
BED_0473,WARD_03
BED_0475,WARD_03
BED_0493,WARD_03
BED_0035,WARD_04
BED_0045,WARD_04
BED_0056,WARD_04
BED_0063,WARD_04
BED_0080,WARD_04
BED_0081,WARD_04
BED_0086,WARD_04
BED_0096,WARD_04
BED_0103,WARD_04
BED_0111,WARD_04
BED_0118,WARD_04
BED_0127,WARD_04
BED_0148,WARD_04
BED_0168,WARD_04
BED_0200,WARD_04
BED_0246,WARD_04
BED_0261,WARD_04
BED_0270,WARD_04
BED_0279,WARD_04
BED_0292,WARD_04
BED_0321,WARD_04
BED_0380,WARD_04
BED_0382,WARD_04
BED_0402,WARD_04
BED_0419,WARD_04
BED_0420,WARD_04
BED_0422,WARD_04
BED_0437,WARD_04
BED_0486,WARD_04
BED_0006,WARD_05
BED_0030,WARD_05
BED_0037,WARD_05
BED_0068,WARD_05
BED_0071,WARD_05
BED_0075,WARD_05
BED_0087,WARD_05
BED_0120,WARD_05
BED_0122,WARD_05
BED_0140,WARD_05
BED_0162,WARD_05
BED_0172,WARD_05
BED_0182,WARD_05
BED_0185,WARD_05
BED_0186,WARD_05
BED_0203,WARD_05
BED_0238,WARD_05
BED_0259,WARD_05
BED_0290,WARD_05
BED_0301,WARD_05
BED_0318,WARD_05
BED_0325,WARD_05
BED_0337,WARD_05
BED_0351,WARD_05
BED_0388,WARD_05
BED_0406,WARD_05
BED_0433,WARD_05
BED_0438,WARD_05
BED_0449,WARD_05
BED_0485,WARD_05
BED_0046,WARD_06
BED_0058,WARD_06
BED_0083,WARD_06
BED_0093,WARD_06
BED_0100,WARD_06
BED_0137,WARD_06
BED_0155,WARD_06
BED_0159,WARD_06
BED_0167,WARD_06
BED_0183,WARD_06
BED_0188,WARD_06
BED_0197,WARD_06
BED_0232,WARD_06
BED_0235,WARD_06
BED_0267,WARD_06
BED_0272,WARD_06
BED_0273,WARD_06
BED_0285,WARD_06
BED_0294,WARD_06
BED_0306,WARD_06
BED_0314,WARD_06
BED_0315,WARD_06
BED_0320,WARD_06
BED_0334,WARD_06
BED_0341,WARD_06
BED_0346,WARD_06
BED_0347,WARD_06
BED_0363,WARD_06
BED_0367,WARD_06
BED_0368,WARD_06
BED_0398,WARD_06
BED_0405,WARD_06
BED_0458,WARD_06
BED_0488,WARD_06
BED_0001,WARD_07
BED_0015,WARD_07
BED_0021,WARD_07
BED_0028,WARD_07
BED_0036,WARD_07
BED_0065,WARD_07
BED_0089,WARD_07
BED_0098,WARD_07
BED_0129,WARD_07
BED_0131,WARD_07
BED_0170,WARD_07
BED_0176,WARD_07
BED_0184,WARD_07
BED_0190,WARD_07
BED_0193,WARD_07
BED_0220,WARD_07
BED_0234,WARD_07
BED_0276,WARD_07
BED_0326,WARD_07
BED_0332,WARD_07
BED_0362,WARD_07
BED_0446,WARD_07
BED_0479,WARD_07
BED_0489,WARD_07
BED_0049,WARD_08
BED_0066,WARD_08
BED_0069,WARD_08
BED_0074,WARD_08
BED_0094,WARD_08
BED_0123,WARD_08
BED_0124,WARD_08
BED_0128,WARD_08
BED_0134,WARD_08
BED_0181,WARD_08
BED_0237,WARD_08
BED_0243,WARD_08
BED_0296,WARD_08
BED_0358,WARD_08
BED_0366,WARD_08
BED_0377,WARD_08
BED_0426,WARD_08
BED_0431,WARD_08
BED_0448,WARD_08
BED_0477,WARD_08
BED_0480,WARD_08
BED_0482,WARD_08
BED_0500,WARD_08
BED_0002,WARD_09
BED_0007,WARD_09
BED_0008,WARD_09
BED_0011,WARD_09
BED_0020,WARD_09
BED_0025,WARD_09
BED_0032,WARD_09
BED_0048,WARD_09
BED_0051,WARD_09
BED_0101,WARD_09
BED_0144,WARD_09
BED_0147,WARD_09
BED_0149,WARD_09
BED_0187,WARD_09
BED_0199,WARD_09
BED_0207,WARD_09
BED_0212,WARD_09
BED_0213,WARD_09
BED_0221,WARD_09
BED_0222,WARD_09
BED_0239,WARD_09
BED_0241,WARD_09
BED_0244,WARD_09
BED_0257,WARD_09
BED_0280,WARD_09
BED_0288,WARD_09
BED_0324,WARD_09
BED_0328,WARD_09
BED_0361,WARD_09
BED_0418,WARD_09
BED_0444,WARD_09
BED_0447,WARD_09
BED_0490,WARD_09
BED_0004,WARD_10
BED_0042,WARD_10
BED_0084,WARD_10
BED_0141,WARD_10
BED_0163,WARD_10
BED_0164,WARD_10
BED_0179,WARD_10
BED_0201,WARD_10
BED_0215,WARD_10
BED_0219,WARD_10
BED_0228,WARD_10
BED_0240,WARD_10
BED_0275,WARD_10
BED_0282,WARD_10
BED_0286,WARD_10
BED_0369,WARD_10
BED_0389,WARD_10
BED_0416,WARD_10
BED_0428,WARD_10
BED_0457,WARD_10
BED_0467,WARD_10
BED_0005,WARD_11
BED_0014,WARD_11
BED_0072,WARD_11
BED_0125,WARD_11
BED_0198,WARD_11
BED_0202,WARD_11
BED_0231,WARD_11
BED_0250,WARD_11
BED_0256,WARD_11
BED_0262,WARD_11
BED_0298,WARD_11
BED_0342,WARD_11
BED_0359,WARD_11
BED_0387,WARD_11
BED_0401,WARD_11
BED_0439,WARD_11
BED_0456,WARD_11
BED_0460,WARD_11
BED_0463,WARD_11
BED_0492,WARD_11
BED_0495,WARD_11
BED_0016,WARD_12
BED_0022,WARD_12
BED_0034,WARD_12
BED_0060,WARD_12
BED_0078,WARD_12
BED_0102,WARD_12
BED_0130,WARD_12
BED_0133,WARD_12
BED_0135,WARD_12
BED_0142,WARD_12
BED_0209,WARD_12
BED_0225,WARD_12
BED_0233,WARD_12
BED_0245,WARD_12
BED_0249,WARD_12
BED_0268,WARD_12
BED_0293,WARD_12
BED_0319,WARD_12
BED_0327,WARD_12
BED_0352,WARD_12
BED_0383,WARD_12
BED_0396,WARD_12
BED_0403,WARD_12
BED_0423,WARD_12
BED_0434,WARD_12
BED_0478,WARD_12
BED_0483,WARD_12
BED_0494,WARD_12
BED_0027,WARD_13
BED_0033,WARD_13
BED_0064,WARD_13
BED_0070,WARD_13
BED_0110,WARD_13
BED_0165,WARD_13
BED_0169,WARD_13
BED_0171,WARD_13
BED_0194,WARD_13
BED_0230,WARD_13
BED_0385,WARD_13
BED_0390,WARD_13
BED_0409,WARD_13
BED_0427,WARD_13
BED_0481,WARD_13
BED_0010,WARD_14
BED_0047,WARD_14
BED_0077,WARD_14
BED_0092,WARD_14
BED_0104,WARD_14
BED_0113,WARD_14
BED_0136,WARD_14
BED_0153,WARD_14
BED_0178,WARD_14
BED_0189,WARD_14
BED_0218,WARD_14
BED_0265,WARD_14
BED_0266,WARD_14
BED_0271,WARD_14
BED_0291,WARD_14
BED_0299,WARD_14
BED_0364,WARD_14
BED_0408,WARD_14
BED_0442,WARD_14
BED_0453,WARD_14
BED_0498,WARD_14
BED_0499,WARD_14
BED_0038,WARD_15
BED_0109,WARD_15
BED_0139,WARD_15
BED_0150,WARD_15
BED_0180,WARD_15
BED_0191,WARD_15
BED_0214,WARD_15
BED_0217,WARD_15
BED_0226,WARD_15
BED_0254,WARD_15
BED_0263,WARD_15
BED_0277,WARD_15
BED_0278,WARD_15
BED_0353,WARD_15
BED_0373,WARD_15
BED_0415,WARD_15
BED_0421,WARD_15
BED_0451,WARD_15
BED_0468,WARD_15
BED_0472,WARD_15
BED_0052,WARD_16
BED_0079,WARD_16
BED_0105,WARD_16
BED_0108,WARD_16
BED_0115,WARD_16
BED_0119,WARD_16
BED_0151,WARD_16
BED_0174,WARD_16
BED_0205,WARD_16
BED_0208,WARD_16
BED_0255,WARD_16
BED_0258,WARD_16
BED_0284,WARD_16
BED_0308,WARD_16
BED_0329,WARD_16
BED_0335,WARD_16
BED_0348,WARD_16
BED_0374,WARD_16
BED_0378,WARD_16
BED_0381,WARD_16
BED_0430,WARD_16
BED_0432,WARD_16
BED_0454,WARD_16
BED_0464,WARD_16
BED_0469,WARD_16
BED_0487,WARD_16
BED_0024,WARD_17
BED_0050,WARD_17
BED_0088,WARD_17
BED_0097,WARD_17
BED_0177,WARD_17
BED_0195,WARD_17
BED_0204,WARD_17
BED_0287,WARD_17
BED_0295,WARD_17
BED_0305,WARD_17
BED_0309,WARD_17
BED_0312,WARD_17
BED_0313,WARD_17
BED_0356,WARD_17
BED_0357,WARD_17
BED_0392,WARD_17
BED_0393,WARD_17
BED_0407,WARD_17
BED_0429,WARD_17
BED_0443,WARD_17
BED_0445,WARD_17
BED_0009,WARD_18
BED_0055,WARD_18
BED_0076,WARD_18
BED_0095,WARD_18
BED_0138,WARD_18
BED_0154,WARD_18
BED_0156,WARD_18
BED_0158,WARD_18
BED_0161,WARD_18
BED_0166,WARD_18
BED_0192,WARD_18
BED_0206,WARD_18
BED_0242,WARD_18
BED_0252,WARD_18
BED_0260,WARD_18
BED_0283,WARD_18
BED_0300,WARD_18
BED_0303,WARD_18
BED_0350,WARD_18
BED_0371,WARD_18
BED_0379,WARD_18
BED_0386,WARD_18
BED_0394,WARD_18
BED_0400,WARD_18
BED_0452,WARD_18
BED_0496,WARD_18
BED_0497,WARD_18
BED_0012,WARD_19
BED_0018,WARD_19
BED_0044,WARD_19
BED_0057,WARD_19
BED_0067,WARD_19
BED_0073,WARD_19
BED_0085,WARD_19
BED_0106,WARD_19
BED_0112,WARD_19
BED_0126,WARD_19
BED_0146,WARD_19
BED_0227,WARD_19
BED_0236,WARD_19
BED_0247,WARD_19
BED_0248,WARD_19
BED_0289,WARD_19
BED_0317,WARD_19
BED_0323,WARD_19
BED_0330,WARD_19
BED_0336,WARD_19
BED_0338,WARD_19
BED_0339,WARD_19
BED_0354,WARD_19
BED_0355,WARD_19
BED_0395,WARD_19
BED_0397,WARD_19
BED_0412,WARD_19
BED_0413,WARD_19
BED_0417,WARD_19
BED_0424,WARD_19
BED_0441,WARD_19
BED_0450,WARD_19
BED_0459,WARD_19
BED_0466,WARD_19
BED_0029,WARD_20
BED_0031,WARD_20
BED_0043,WARD_20
BED_0054,WARD_20
BED_0062,WARD_20
BED_0082,WARD_20
BED_0099,WARD_20
BED_0116,WARD_20
BED_0121,WARD_20
BED_0157,WARD_20
BED_0173,WARD_20
BED_0210,WARD_20
BED_0253,WARD_20
BED_0281,WARD_20
BED_0311,WARD_20
BED_0349,WARD_20
BED_0360,WARD_20
BED_0414,WARD_20
BED_0435,WARD_20
BED_0440,WARD_20
BED_0461,WARD_20
BED_0462,WARD_20
BED_0474,WARD_20
BED_0484,WARD_20
